id,order_id,product_id,quantity,price,discount,_fivetran_synced,_fivetran_deleted
o_00016_l2,o_00016,p_030,1,226.19,0.00,2026-07-06 23:59:50,false
o_00016_l3,o_00016,p_005,1,177.02,44.26,2026-07-06 23:59:50,false
o_00016_l4,o_00016,p_012,3,16.80,0.00,2026-07-06 23:59:50,false
o_00017_l1,o_00017,p_054,2,182.91,45.73,2026-07-04 04:46:50,false
o_00017_l2,o_00017,p_032,2,243.45,0.00,2026-07-04 04:46:50,false
o_00017_l3,o_00017,p_043,3,486.19,121.55,2026-07-04 04:46:50,false
o_00018_l1,o_00018,p_059,1,339.31,33.93,2026-07-19 19:34:50,false
o_00018_l2,o_00018,p_013,3,282.17,0.00,2026-07-19 19:34:50,false
o_00018_l3,o_00018,p_038,3,327.35,0.00,2026-07-19 19:34:50,false
o_00018_l4,o_00018,p_006,3,14.58,0.00,2026-07-19 19:34:50,false
o_00019_l1,o_00019,p_055,1,259.37,64.84,2026-07-12 05:07:50,false
o_00019_l2,o_00019,p_006,3,480.43,48.04,2026-07-12 05:07:50,false
o_00020_l1,o_00020,p_059,3,332.37,0.00,2026-07-22 11:05:50,false
o_00021_l1,o_00021,p_023,2,304.43,0.00,2026-07-05 02:14:50,false
o_00021_l2,o_00021,p_043,2,54.24,0.00,2026-07-05 02:14:50,false
o_00022_l1,o_00022,p_008,1,23.83,5.96,2026-07-12 14:52:50,false
o_00023_l1,o_00023,p_051,2,196.83,0.00,2026-06-24 23:10:50,false
o_00023_l2,o_00023,p_018,1,135.84,13.58,2026-06-24 23:10:50,false
o_00024_l1,o_00024,p_036,2,467.81,0.00,2026-07-23 10:18:50,false
o_00024_l2,o_00024,p_052,3,308.08,0.00,2026-07-23 10:18:50,false
o_00025_l1,o_00025,p_009,1,395.01,0.00,2026-06-15 02:37:50,false
o_00025_l2,o_00025,p_057,2,452.08,0.00,2026-06-15 02:37:50,false
o_00026_l1,o_00026,p_038,3,51.74,0.00,2026-06-17 00:52:50,false
o_00027_l1,o_00027,p_048,3,263.81,0.00,2026-07-26 13:37:50,false
o_00027_l2,o_00027,p_033,3,106.41,0.00,2026-07-26 13:37:50,false
o_00028_l1,o_00028,p_034,2,168.54,16.85,2026-07-01 03:49:50,false
o_00028_l2,o_00028,p_048,1,346.21,86.55,2026-07-01 03:49:50,false
o_00028_l3,o_00028,p_040,3,474.34,0.00,2026-07-01 03:49:50,false
o_00028_l4,o_00028,p_037,2,75.65,0.00,2026-07-01 03:49:50,false
o_00029_l1,o_00029,p_013,1,188.62,0.00,2026-07-08 03:26:50,false
o_00029_l2,o_00029,p_058,3,443.47,0.00,2026-07-08 03:26:50,false
o_00029_l3,o_00029,p_030,3,389.05,97.26,2026-07-08 03:26:50,false
o_00030_l1,o_00030,p_013,2,203.77,50.94,2026-07-26 21:08:50,false
o_00031_l1,o_00031,p_034,2,360.45,0.00,2026-07-09 00:00:50,false
o_00031_l2,o_00031,p_005,2,436.41,0.00,2026-07-09 00:00:50,false
o_00031_l3,o_00031,p_038,2,157.51,15.75,2026-07-09 00:00:50,false
o_00032_l1,o_00032,p_057,1,399.42,39.94,2026-06-23 23:09:50,false
o_00032_l2,o_00032,p_014,3,166.18,0.00,2026-06-23 23:09:50,false
o_00032_l3,o_00032,p_056,2,163.38,0.00,2026-06-23 23:09:50,false
o_00033_l1,o_00033,p_053,3,218.33,0.00,2026-06-19 14:25:50,false
o_00033_l2,o_00033,p_038,1,215.39,0.00,2026-06-19 14:25:50,false
o_00034_l1,o_00034,p_038,3,445.95,0.00,2026-07-23 21:36:50,false
o_00035_l1,o_00035,p_057,3,391.82,0.00,2026-06-21 05:25:50,false
o_00035_l2,o_00035,p_015,2,183.55,0.00,2026-06-21 05:25:50,false
o_00035_l3,o_00035,p_014,3,289.03,0.00,2026-06-21 05:25:50,false
o_00035_l4,o_00035,p_017,3,240.91,0.00,2026-06-21 05:25:50,false
o_00036_l1,o_00036,p_057,1,317.70,31.77,2026-07-04 15:29:50,false
o_00037_l1,o_00037,p_016,2,435.68,0.00,2026-07-05 06:59:50,false
o_00037_l2,o_00037,p_011,2,222.25,0.00,2026-07-05 06:59:50,false
o_00038_l1,o_00038,p_036,2,365.38,91.34,2026-07-01 08:38:50,false
o_00038_l2,o_00038,p_044,3,185.68,46.42,2026-07-01 08:38:50,false
o_00038_l3,o_00038,p_041,1,291.42,0.00,2026-07-01 08:38:50,false
o_00039_l1,o_00039,p_030,1,251.45,25.14,2026-07-16 01:30:50,false
o_00040_l1,o_00040,p_033,1,368.04,36.80,2026-06-16 14:09:50,false
o_00040_l2,o_00040,p_016,2,187.30,46.83,2026-06-16 14:09:50,false
o_00041_l1,o_00041,p_033,3,293.82,0.00,2026-07-25 12:41:50,false
o_00041_l2,o_00041,p_037,3,469.77,0.00,2026-07-25 12:41:50,false
o_00042_l1,o_00042,p_020,3,15.93,0.00,2026-06-25 07:04:50,false
o_00042_l2,o_00042,p_055,3,478.91,119.73,2026-06-25 07:04:50,false
o_00042_l3,o_00042,p_017,3,131.07,0.00,2026-06-25 07:04:50,false
o_00043_l1,o_00043,p_030,1,442.55,0.00,2026-07-03 19:11:50,false
o_00043_l2,o_00043,p_052,2,443.36,0.00,2026-07-03 19:11:50,false
o_00043_l3,o_00043,p_029,2,267.75,66.94,2026-07-03 19:11:50,false
o_00043_l4,o_00043,p_048,1,218.37,0.00,2026-07-03 19:11:50,false
o_00044_l1,o_00044,p_050,1,112.34,0.00,2026-07-23 12:46:50,false
o_00045_l1,o_00045,p_054,3,269.41,0.00,2026-07-01 22:35:50,false
o_00046_l1,o_00046,p_008,1,334.40,0.00,2026-07-05 05:11:50,false
o_00047_l1,o_00047,p_028,3,356.72,0.00,2026-06-29 12:37:50,false
o_00047_l2,o_00047,p_020,1,422.67,0.00,2026-06-29 12:37:50,false
o_00048_l1,o_00048,p_028,2,304.80,0.00,2026-07-14 11:25:50,false
o_00048_l2,o_00048,p_009,3,227.42,56.85,2026-07-14 11:25:50,false
o_00048_l3,o_00048,p_013,2,259.17,64.79,2026-07-14 11:25:50,false
o_00049_l1,o_00049,p_043,3,111.54,27.89,2026-06-20 13:38:50,false
o_00049_l2,o_00049,p_024,1,169.39,42.35,2026-06-20 13:38:50,false
o_00049_l3,o_00049,p_028,2,57.70,14.43,2026-06-20 13:38:50,false
o_00049_l4,o_00049,p_009,1,41.36,0.00,2026-06-20 13:38:50,false
o_00050_l1,o_00050,p_039,3,365.71,0.00,2026-07-16 11:25:50,false
o_00050_l2,o_00050,p_022,3,245.30,24.53,2026-07-16 11:25:50,false
o_00050_l3,o_00050,p_031,2,387.63,0.00,2026-07-16 11:25:50,false
o_00051_l1,o_00051,p_010,3,343.87,34.39,2026-07-05 10:01:50,false
o_00051_l2,o_00051,p_049,2,79.20,7.92,2026-07-05 10:01:50,false
o_00052_l1,o_00052,p_045,1,403.44,0.00,2026-06-14 20:49:50,false
o_00052_l2,o_00052,p_047,2,413.82,0.00,2026-06-14 20:49:50,false
o_00052_l3,o_00052,p_035,3,138.19,13.82,2026-06-14 20:49:50,false
o_00053_l1,o_00053,p_012,2,337.07,84.27,2026-07-08 01:52:50,false
o_00053_l2,o_00053,p_050,2,411.92,0.00,2026-07-08 01:52:50,false
o_00054_l1,o_00054,p_042,1,32.82,0.00,2026-06-26 07:47:50,false
o_00054_l2,o_00054,p_026,3,469.95,0.00,2026-06-26 07:47:50,false
o_00054_l3,o_00054,p_003,3,276.03,69.01,2026-06-26 07:47:50,false
o_00055_l1,o_00055,p_022,2,329.20,82.30,2026-07-16 00:45:50,false
o_00055_l2,o_00055,p_044,3,321.81,32.18,2026-07-16 00:45:50,false
o_00055_l3,o_00055,p_019,2,247.11,0.00,2026-07-16 00:45:50,false
o_00055_l4,o_00055,p_025,1,203.94,0.00,2026-07-16 00:45:50,false
o_00056_l1,o_00056,p_003,1,121.02,0.00,2026-06-30 02:46:50,false
o_00057_l1,o_00057,p_004,3,473.52,0.00,2026-07-09 21:19:50,false
o_00057_l2,o_00057,p_006,2,182.85,45.71,2026-07-09 21:19:50,false
o_00058_l1,o_00058,p_012,2,321.40,0.00,2026-07-06 18:57:50,false
o_00059_l1,o_00059,p_040,2,477.23,119.31,2026-06-20 14:00:50,false
o_00059_l2,o_00059,p_028,3,239.34,23.93,2026-06-20 14:00:50,false
o_00059_l3,o_00059,p_042,1,215.97,0.00,2026-06-20 14:00:50,false
o_00060_l1,o_00060,p_006,1,160.20,0.00,2026-07-27 02:07:50,false
o_00060_l2,o_00060,p_054,3,65.61,16.40,2026-07-27 02:07:50,false
o_00060_l3,o_00060,p_038,2,410.05,0.00,2026-07-27 02:07:50,false
o_00061_l1,o_00061,p_004,2,68.99,0.00,2026-07-18 17:01:50,false
o_00061_l2,o_00061,p_025,1,393.35,98.34,2026-07-18 17:01:50,false
o_00061_l3,o_00061,p_043,3,419.04,0.00,2026-07-18 17:01:50,false
o_00061_l4,o_00061,p_037,3,236.43,23.64,2026-07-18 17:01:50,false
o_00062_l1,o_00062,p_039,2,16.21,0.00,2026-07-22 00:52:50,false
o_00063_l1,o_00063,p_038,3,203.06,0.00,2026-06-26 07:25:50,false
o_00064_l1,o_00064,p_005,1,497.31,0.00,2026-06-15 20:20:50,false
o_00064_l2,o_00064,p_060,3,248.01,62.00,2026-06-15 20:20:50,false
o_00064_l3,o_00064,p_003,2,25.60,0.00,2026-06-15 20:20:50,false
o_00064_l4,o_00064,p_059,1,23.57,0.00,2026-06-15 20:20:50,false
o_00065_l1,o_00065,p_023,3,340.17,0.00,2026-06-17 17:21:50,false
o_00066_l1,o_00066,p_036,1,232.86,23.29,2026-07-19 10:50:50,false
o_00066_l2,o_00066,p_003,1,354.33,35.43,2026-07-19 10:50:50,false
o_00066_l3,o_00066,p_004,1,350.58,0.00,2026-07-19 10:50:50,false
o_00066_l4,o_00066,p_017,1,377.35,0.00,2026-07-19 10:50:50,false
o_00067_l1,o_00067,p_025,2,306.08,0.00,2026-07-06 10:56:50,false
o_00067_l2,o_00067,p_048,1,437.82,0.00,2026-07-06 10:56:50,false
o_00068_l1,o_00068,p_015,2,130.27,32.57,2026-07-28 10:25:50,false
o_00068_l2,o_00068,p_045,1,49.02,0.00,2026-07-28 10:25:50,false
o_00068_l3,o_00068,p_024,3,317.82,31.78,2026-07-28 10:25:50,false
o_00068_l4,o_00068,p_058,2,64.87,0.00,2026-07-28 10:25:50,false
o_00069_l1,o_00069,p_054,2,395.76,0.00,2026-07-10 13:27:50,false
o_00069_l2,o_00069,p_010,1,22.67,0.00,2026-07-10 13:27:50,false
o_00070_l1,o_00070,p_032,2,124.74,31.18,2026-06-25 10:29:50,false
o_00070_l2,o_00070,p_015,1,79.48,0.00,2026-06-25 10:29:50,false
o_00071_l1,o_00071,p_028,1,171.31,0.00,2026-07-10 11:02:50,false
o_00071_l2,o_00071,p_007,3,397.56,99.39,2026-07-10 11:02:50,false
o_00072_l1,o_00072,p_009,1,112.63,0.00,2026-07-27 02:39:50,false
o_00073_l1,o_00073,p_058,3,161.51,40.38,2026-07-22 09:48:50,false
o_00073_l2,o_00073,p_011,3,112.11,11.21,2026-07-22 09:48:50,false
o_00073_l3,o_00073,p_020,3,304.40,30.44,2026-07-22 09:48:50,false
o_00074_l1,o_00074,p_054,3,338.17,0.00,2026-07-15 07:34:50,false
o_00075_l1,o_00075,p_026,2,475.35,0.00,2026-07-13 22:23:50,false
o_00075_l2,o_00075,p_026,1,20.43,0.00,2026-07-13 22:23:50,false
o_00075_l3,o_00075,p_040,3,315.94,0.00,2026-07-13 22:23:50,false
o_00076_l1,o_00076,p_060,2,382.77,0.00,2026-06-26 06:05:50,false
o_00076_l2,o_00076,p_028,1,383.19,38.32,2026-06-26 06:05:50,false
o_00076_l3,o_00076,p_047,2,28.54,0.00,2026-06-26 06:05:50,false
o_00077_l1,o_00077,p_050,2,259.09,0.00,2026-06-22 08:24:50,false
o_00077_l2,o_00077,p_033,3,73.42,0.00,2026-06-22 08:24:50,false
o_00078_l1,o_00078,p_026,2,350.38,35.04,2026-07-24 23:30:50,false
o_00079_l1,o_00079,p_004,3,441.37,44.14,2026-06-30 02:09:50,false
o_00079_l2,o_00079,p_052,3,221.88,0.00,2026-06-30 02:09:50,false
o_00079_l3,o_00079,p_003,2,343.27,0.00,2026-06-30 02:09:50,false
o_00079_l4,o_00079,p_016,3,156.50,39.12,2026-06-30 02:09:50,false
o_00080_l1,o_00080,p_044,1,188.87,0.00,2026-06-27 02:46:50,false
o_00080_l2,o_00080,p_032,1,283.77,0.00,2026-06-27 02:46:50,false
o_00080_l3,o_00080,p_043,1,487.90,0.00,2026-06-27 02:46:50,false
o_00080_l4,o_00080,p_040,2,345.22,0.00,2026-06-27 02:46:50,false
o_00081_l1,o_00081,p_001,2,345.00,0.00,2026-07-19 14:44:50,false
o_00081_l2,o_00081,p_058,1,449.88,112.47,2026-07-19 14:44:50,false
o_00081_l3,o_00081,p_006,1,409.83,40.98,2026-07-19 14:44:50,false
o_00081_l4,o_00081,p_035,1,145.82,0.00,2026-07-19 14:44:50,false
o_00082_l1,o_00082,p_025,1,288.29,28.83,2026-06-17 14:46:50,false
o_00082_l2,o_00082,p_029,3,108.22,27.05,2026-06-17 14:46:50,false
o_00082_l3,o_00082,p_028,2,50.01,0.00,2026-06-17 14:46:50,false
o_00083_l1,o_00083,p_020,1,214.10,53.52,2026-07-02 08:34:50,false
o_00083_l2,o_00083,p_030,1,332.75,83.19,2026-07-02 08:34:50,false
o_00084_l1,o_00084,p_015,1,433.83,0.00,2026-07-02 13:54:50,false
o_00084_l2,o_00084,p_027,3,13.30,0.00,2026-07-02 13:54:50,false
o_00085_l1,o_00085,p_060,2,224.82,56.20,2026-07-11 20:00:50,false
o_00085_l2,o_00085,p_033,2,428.54,0.00,2026-07-11 20:00:50,false
o_00086_l1,o_00086,p_009,1,261.27,65.32,2026-06-29 07:02:50,false
o_00087_l1,o_00087,p_015,3,492.06,0.00,2026-07-07 19:09:50,false
o_00087_l2,o_00087,p_054,1,343.44,85.86,2026-07-07 19:09:50,false
o_00088_l1,o_00088,p_034,3,18.77,0.00,2026-07-05 23:51:50,false
o_00088_l2,o_00088,p_036,3,385.68,38.57,2026-07-05 23:51:50,false
o_00088_l3,o_00088,p_014,2,281.50,0.00,2026-07-05 23:51:50,false
o_00089_l1,o_00089,p_041,1,119.19,11.92,2026-07-10 00:05:50,false
o_00089_l2,o_00089,p_057,2,409.33,0.00,2026-07-10 00:05:50,false
o_00089_l3,o_00089,p_033,1,247.87,0.00,2026-07-10 00:05:50,false
o_00090_l1,o_00090,p_016,3,116.43,0.00,2026-07-05 23:36:50,false
o_00090_l2,o_00090,p_032,3,332.96,33.30,2026-07-05 23:36:50,false
o_00091_l1,o_00091,p_047,3,38.09,9.52,2026-06-23 18:15:50,false
o_00091_l2,o_00091,p_004,1,43.41,4.34,2026-06-23 18:15:50,false
o_00092_l1,o_00092,p_046,1,369.69,0.00,2026-06-20 18:55:50,false
o_00092_l2,o_00092,p_058,2,261.80,26.18,2026-06-20 18:55:50,false
o_00092_l3,o_00092,p_036,1,137.93,34.48,2026-06-20 18:55:50,false
o_00092_l4,o_00092,p_053,1,181.21,45.30,2026-06-20 18:55:50,false
o_00093_l1,o_00093,p_005,2,367.99,0.00,2026-07-14 03:44:50,false
o_00093_l2,o_00093,p_012,1,416.25,0.00,2026-07-14 03:44:50,false
o_00093_l3,o_00093,p_024,2,278.63,69.66,2026-07-14 03:44:50,false
o_00094_l1,o_00094,p_016,3,36.15,0.00,2026-07-22 17:20:50,false
o_00094_l2,o_00094,p_031,2,57.94,5.79,2026-07-22 17:20:50,false
o_00094_l3,o_00094,p_037,2,38.33,0.00,2026-07-22 17:20:50,false
o_00094_l4,o_00094,p_027,2,28.15,0.00,2026-07-22 17:20:50,false
o_00095_l1,o_00095,p_058,1,100.01,0.00,2026-07-17 08:29:50,false
o_00095_l2,o_00095,p_041,1,417.86,0.00,2026-07-17 08:29:50,false
o_00095_l3,o_00095,p_011,1,51.05,5.11,2026-07-17 08:29:50,false
o_00095_l4,o_00095,p_008,3,65.33,0.00,2026-07-17 08:29:50,false
o_00096_l1,o_00096,p_018,3,235.58,0.00,2026-07-23 13:57:50,false
o_00096_l2,o_00096,p_035,3,155.51,0.00,2026-07-23 13:57:50,false
o_00096_l3,o_00096,p_018,1,451.36,112.84,2026-07-23 13:57:50,false
o_00097_l1,o_00097,p_009,2,11.88,0.00,2026-07-07 01:24:50,false
o_00097_l2,o_00097,p_033,3,182.33,0.00,2026-07-07 01:24:50,false
o_00097_l3,o_00097,p_029,3,166.20,0.00,2026-07-07 01:24:50,false
o_00098_l1,o_00098,p_002,1,85.70,0.00,2026-06-30 14:56:50,false
o_00098_l2,o_00098,p_027,1,66.53,0.00,2026-06-30 14:56:50,false
o_00098_l3,o_00098,p_002,1,333.05,0.00,2026-06-30 14:56:50,false
o_00099_l1,o_00099,p_010,1,121.14,30.29,2026-06-15 17:10:50,false
o_00099_l2,o_00099,p_022,1,93.07,0.00,2026-06-15 17:10:50,false
o_00099_l3,o_00099,p_030,2,49.92,0.00,2026-06-15 17:10:50,false
o_00100_l1,o_00100,p_017,2,317.04,0.00,2026-06-14 10:13:50,false
o_00100_l2,o_00100,p_060,2,102.48,0.00,2026-06-14 10:13:50,false
o_00100_l3,o_00100,p_031,2,313.56,78.39,2026-06-14 10:13:50,false
o_00101_l1,o_00101,p_037,2,412.88,0.00,2026-07-04 20:10:50,false
o_00101_l2,o_00101,p_024,2,330.62,0.00,2026-07-04 20:10:50,false
o_00102_l1,o_00102,p_019,3,445.16,111.29,2026-07-07 23:39:50,false
o_00102_l2,o_00102,p_002,3,197.90,0.00,2026-07-07 23:39:50,false
o_00102_l3,o_00102,p_022,3,55.22,13.80,2026-07-07 23:39:50,false
o_00103_l1,o_00103,p_028,1,76.93,0.00,2026-07-26 20:08:50,false
o_00103_l2,o_00103,p_039,3,40.84,0.00,2026-07-26 20:08:50,false
o_00103_l3,o_00103,p_015,3,54.20,0.00,2026-07-26 20:08:50,false
o_00103_l4,o_00103,p_009,3,43.70,0.00,2026-07-26 20:08:50,false
o_00104_l1,o_00104,p_026,3,402.11,0.00,2026-06-14 07:20:50,false
o_00104_l2,o_00104,p_008,3,422.95,0.00,2026-06-14 07:20:50,false
o_00105_l1,o_00105,p_004,2,307.56,30.76,2026-07-27 07:56:50,false
o_00105_l2,o_00105,p_053,2,417.08,41.71,2026-07-27 07:56:50,false
o_00105_l3,o_00105,p_060,1,386.55,38.66,2026-07-27 07:56:50,false
o_00105_l4,o_00105,p_024,2,225.56,22.56,2026-07-27 07:56:50,false
o_00106_l1,o_00106,p_019,3,140.19,0.00,2026-06-19 22:18:50,false
o_00106_l2,o_00106,p_017,2,304.88,30.49,2026-06-19 22:18:50,false
o_00107_l1,o_00107,p_005,3,432.20,108.05,2026-07-27 00:51:50,false
o_00107_l2,o_00107,p_005,2,407.68,101.92,2026-07-27 00:51:50,false
o_00107_l3,o_00107,p_033,1,269.95,0.00,2026-07-27 00:51:50,false
o_00107_l4,o_00107,p_059,2,172.97,0.00,2026-07-27 00:51:50,false
o_00108_l1,o_00108,p_012,2,435.60,108.90,2026-07-11 08:00:50,false
o_00108_l2,o_00108,p_020,2,405.39,0.00,2026-07-11 08:00:50,false
o_00109_l1,o_00109,p_031,1,42.71,0.00,2026-06-29 15:10:50,false
o_00109_l2,o_00109,p_041,1,94.60,0.00,2026-06-29 15:10:50,false
o_00109_l3,o_00109,p_002,1,105.36,26.34,2026-06-29 15:10:50,false
o_00110_l1,o_00110,p_019,2,473.68,0.00,2026-06-25 11:36:50,false
o_00111_l1,o_00111,p_051,1,494.17,123.54,2026-06-26 09:41:50,false
o_00112_l1,o_00112,p_020,1,153.58,15.36,2026-07-18 04:08:50,false
o_00113_l1,o_00113,p_037,2,147.47,14.75,2026-07-16 12:45:50,false
o_00113_l2,o_00113,p_016,1,382.40,0.00,2026-07-16 12:45:50,false
o_00113_l3,o_00113,p_005,3,80.89,20.22,2026-07-16 12:45:50,false
o_00113_l4,o_00113,p_020,1,275.40,0.00,2026-07-16 12:45:50,false
o_00114_l1,o_00114,p_054,3,377.63,94.41,2026-07-02 01:23:50,false
o_00115_l1,o_00115,p_007,3,213.24,53.31,2026-06-30 01:07:50,false
o_00115_l2,o_00115,p_044,2,338.30,84.58,2026-06-30 01:07:50,false
o_00115_l3,o_00115,p_019,3,40.84,10.21,2026-06-30 01:07:50,false
o_00116_l1,o_00116,p_038,2,326.24,0.00,2026-06-25 02:43:50,false
o_00117_l1,o_00117,p_048,1,366.54,0.00,2026-06-28 09:48:50,false
o_00118_l1,o_00118,p_011,3,437.21,43.72,2026-06-23 05:44:50,false
o_00118_l2,o_00118,p_045,2,63.86,0.00,2026-06-23 05:44:50,false
o_00118_l3,o_00118,p_004,1,452.53,0.00,2026-06-23 05:44:50,false
o_00118_l4,o_00118,p_024,2,236.56,0.00,2026-06-23 05:44:50,false
o_00119_l1,o_00119,p_059,1,101.87,25.47,2026-07-16 23:00:50,false
o_00119_l2,o_00119,p_046,2,161.55,0.00,2026-07-16 23:00:50,false
o_00120_l1,o_00120,p_008,1,361.75,0.00,2026-07-09 04:09:50,false
o_00121_l1,o_00121,p_017,3,86.54,0.00,2026-07-25 22:13:50,false
o_00122_l1,o_00122,p_024,2,40.10,4.01,2026-06-21 03:07:50,false
o_00122_l2,o_00122,p_017,3,380.71,95.18,2026-06-21 03:07:50,false
o_00123_l1,o_00123,p_054,3,298.92,0.00,2026-07-05 11:53:50,false
o_00123_l2,o_00123,p_053,1,466.23,0.00,2026-07-05 11:53:50,false
o_00123_l3,o_00123,p_027,3,475.45,47.55,2026-07-05 11:53:50,false
o_00123_l4,o_00123,p_040,1,473.09,0.00,2026-07-05 11:53:50,false
o_00124_l1,o_00124,p_005,2,294.90,73.72,2026-06-15 21:25:50,false
o_00124_l2,o_00124,p_051,1,433.66,0.00,2026-06-15 21:25:50,false
o_00124_l3,o_00124,p_020,3,316.63,0.00,2026-06-15 21:25:50,false
o_00124_l4,o_00124,p_044,3,90.04,0.00,2026-06-15 21:25:50,false
o_00125_l1,o_00125,p_045,1,99.26,0.00,2026-06-23 20:28:50,false
o_00125_l2,o_00125,p_035,1,403.92,100.98,2026-06-23 20:28:50,false
o_00125_l3,o_00125,p_013,2,402.63,0.00,2026-06-23 20:28:50,false
o_00126_l1,o_00126,p_043,1,485.06,0.00,2026-07-01 04:08:50,false
o_00126_l2,o_00126,p_038,1,24.27,0.00,2026-07-01 04:08:50,false
o_00127_l1,o_00127,p_044,1,460.75,0.00,2026-06-16 20:15:50,false
o_00127_l2,o_00127,p_060,3,441.55,44.16,2026-06-16 20:15:50,false
o_00128_l1,o_00128,p_051,3,170.45,0.00,2026-07-01 23:06:50,false
o_00128_l2,o_00128,p_031,3,321.51,0.00,2026-07-01 23:06:50,false
o_00129_l1,o_00129,p_005,1,478.28,0.00,2026-07-20 16:49:50,false
o_00129_l2,o_00129,p_003,3,455.17,45.52,2026-07-20 16:49:50,false
o_00129_l3,o_00129,p_047,1,65.82,6.58,2026-07-20 16:49:50,false
o_00129_l4,o_00129,p_041,2,350.12,35.01,2026-07-20 16:49:50,false
o_00130_l1,o_00130,p_037,1,415.99,0.00,2026-07-19 20:41:50,false
o_00131_l1,o_00131,p_039,1,488.84,0.00,2026-07-11 14:28:50,false
o_00132_l1,o_00132,p_029,1,116.31,11.63,2026-07-20 18:25:50,false
o_00132_l2,o_00132,p_007,1,453.47,113.37,2026-07-20 18:25:50,false
o_00132_l3,o_00132,p_016,3,247.11,0.00,2026-07-20 18:25:50,false
o_00132_l4,o_00132,p_019,3,122.42,30.61,2026-07-20 18:25:50,false
o_00133_l1,o_00133,p_051,2,199.29,49.82,2026-07-27 01:51:50,false
o_00133_l2,o_00133,p_049,3,489.25,48.93,2026-07-27 01:51:50,false
o_00133_l3,o_00133,p_057,2,249.21,0.00,2026-07-27 01:51:50,false
o_00133_l4,o_00133,p_021,1,49.48,0.00,2026-07-27 01:51:50,false
o_00134_l1,o_00134,p_042,2,258.57,64.64,2026-06-19 06:57:50,false
o_00134_l2,o_00134,p_022,1,97.72,24.43,2026-06-19 06:57:50,false
o_00134_l3,o_00134,p_040,1,278.54,0.00,2026-06-19 06:57:50,false
o_00134_l4,o_00134,p_060,1,251.51,0.00,2026-06-19 06:57:50,false
o_00135_l1,o_00135,p_002,2,225.66,22.57,2026-06-14 00:58:50,false
o_00135_l2,o_00135,p_015,2,235.64,23.56,2026-06-14 00:58:50,false
o_00135_l3,o_00135,p_013,1,276.78,0.00,2026-06-14 00:58:50,false
