receipt_ref,customer_ref,status,currency,total_amount,sold_at,register_id,exported_at
r_00118,pc_0008,PAID,USD,160.88,2026-07-24 20:40:57,reg_03,2026-08-03 22:40:57
r_00119,pc_0009,PAID,USD,74.85,2026-06-26 17:40:57,reg_02,2026-08-03 22:40:57
r_00120,,PAID,USD,73.39,2026-07-20 23:40:57,reg_03,2026-08-03 22:40:57
r_00121,pc_0008,PAID,USD,58.39,2026-07-01 12:40:57,reg_01,2026-08-03 22:40:57
r_00122,pc_0022,PAID,USD,36.39,2026-07-11 07:40:57,reg_02,2026-08-03 22:40:57
r_00123,pc_0003,PAID,USD,52.33,2026-07-27 18:40:57,reg_02,2026-08-03 22:40:57
r_00124,,PAID,USD,205.17,2026-06-26 04:40:57,reg_01,2026-08-03 22:40:57
r_00125,pc_0036,PAID,USD,215.22,2026-06-30 20:40:57,reg_01,2026-08-03 22:40:57
r_00126,pc_0034,PAID,USD,181.41,2026-07-19 07:40:57,reg_01,2026-08-03 22:40:57
r_00127,pc_0038,PAID,USD,83.81,2026-06-20 10:40:57,reg_03,2026-08-03 22:40:57
r_00128,,PAID,USD,30.70,2026-06-23 19:40:57,reg_03,2026-08-03 22:40:57
r_00129,pc_0022,REFUNDED,USD,23.04,2026-07-27 19:40:57,reg_01,2026-08-03 22:40:57
r_00130,pc_0009,PAID,USD,183.34,2026-07-03 12:40:57,reg_02,2026-08-03 22:40:57
r_00131,pc_0037,PAID,USD,220.26,2026-06-28 23:40:57,reg_01,2026-08-03 22:40:57
r_00132,,PAID,USD,165.08,2026-07-29 09:40:57,reg_03,2026-08-03 22:40:57
r_00133,pc_0014,PAID,USD,47.92,2026-07-23 22:40:57,reg_01,2026-08-03 22:40:57
r_00134,pc_0022,PAID,USD,54.32,2026-06-21 10:40:57,reg_02,2026-08-03 22:40:57
r_00135,pc_0003,PAID,USD,76.93,2026-07-01 09:40:57,reg_02,2026-08-03 22:40:57
r_00136,,PAID,USD,54.18,2026-07-14 05:40:57,reg_03,2026-08-03 22:40:57
r_00137,pc_0007,VOID,USD,146.88,2026-07-16 10:40:57,reg_01,2026-08-03 22:40:57
r_00138,pc_0008,PAID,USD,89.09,2026-06-20 12:40:57,reg_02,2026-08-03 22:40:57
r_00139,pc_0040,PAID,USD,113.45,2026-07-24 19:40:57,reg_03,2026-08-03 22:40:57
r_00140,,PAID,USD,228.94,2026-07-28 05:40:57,reg_01,2026-08-03 22:40:57
r_00141,pc_0015,PAID,USD,156.26,2026-06-22 01:40:57,reg_02,2026-08-03 22:40:57
r_00142,pc_0012,PAID,USD,93.21,2026-07-18 01:40:57,reg_01,2026-08-03 22:40:57
r_00143,pc_0038,PAID,USD,10.07,2026-07-02 00:40:57,reg_03,2026-08-03 22:40:57
r_00144,,REFUNDED,USD,48.45,2026-07-04 01:40:57,reg_02,2026-08-03 22:40:57
r_00145,pc_0030,PAID,USD,112.65,2026-07-13 07:40:57,reg_01,2026-08-03 22:40:57
r_00146,pc_0019,REFUNDED,USD,51.16,2026-07-11 07:40:57,reg_02,2026-08-03 22:40:57
r_00147,pc_0035,PAID,USD,72.69,2026-07-24 11:40:57,reg_01,2026-08-03 22:40:57
r_00148,,PAID,USD,201.41,2026-07-29 19:40:57,reg_01,2026-08-03 22:40:57
r_00149,pc_0036,PAID,USD,202.94,2026-07-10 21:40:57,reg_03,2026-08-03 22:40:57
r_00150,pc_0036,PAID,USD,206.07,2026-07-30 07:40:57,reg_01,2026-08-03 22:40:57
r_00151,pc_0028,REFUNDED,USD,128.61,2026-07-14 05:40:57,reg_01,2026-08-03 22:40:57
r_00152,,REFUNDED,USD,69.31,2026-06-22 06:40:57,reg_02,2026-08-03 22:40:57
r_00153,pc_0016,PAID,USD,184.45,2026-07-21 21:40:57,reg_01,2026-08-03 22:40:57
r_00154,pc_0021,PAID,USD,32.99,2026-07-28 07:40:57,reg_03,2026-08-03 22:40:57
r_00155,pc_0006,REFUNDED,USD,181.11,2026-08-01 09:40:57,reg_01,2026-08-03 22:40:57
r_00156,,PAID,USD,214.57,2026-07-01 01:40:57,reg_01,2026-08-03 22:40:57
r_00157,pc_0005,PAID,USD,232.81,2026-07-21 16:40:57,reg_02,2026-08-03 22:40:57
r_00158,pc_0029,PAID,USD,83.99,2026-07-28 00:40:57,reg_01,2026-08-03 22:40:57
r_00159,pc_0036,PAID,USD,31.18,2026-07-18 17:40:57,reg_01,2026-08-03 22:40:57
r_00160,,PAID,USD,206.85,2026-07-10 00:40:57,reg_01,2026-08-03 22:40:57
r_00161,pc_0024,PAID,USD,192.67,2026-07-29 10:40:57,reg_03,2026-08-03 22:40:57
r_00162,pc_0023,PAID,USD,107.77,2026-06-28 07:40:57,reg_01,2026-08-03 22:40:57
r_00163,pc_0033,PAID,USD,32.78,2026-06-29 07:40:57,reg_01,2026-08-03 22:40:57
r_00164,,PAID,USD,201.89,2026-07-30 13:40:57,reg_03,2026-08-03 22:40:57
r_00165,pc_0026,PAID,USD,153.91,2026-06-20 13:40:57,reg_01,2026-08-03 22:40:57
r_00166,pc_0039,PAID,USD,144.80,2026-07-17 23:40:57,reg_02,2026-08-03 22:40:57
r_00167,pc_0013,PAID,USD,145.13,2026-07-04 15:40:57,reg_01,2026-08-03 22:40:57
r_00168,,PAID,USD,152.51,2026-07-11 18:40:57,reg_01,2026-08-03 22:40:57
r_00169,pc_0037,PAID,USD,40.34,2026-07-05 22:40:57,reg_03,2026-08-03 22:40:57
r_00170,pc_0018,PAID,USD,192.13,2026-06-22 15:40:57,reg_02,2026-08-03 22:40:57
r_00171,pc_0018,PAID,USD,6.75,2026-07-31 22:40:57,reg_01,2026-08-03 22:40:57
r_00172,,PAID,USD,138.47,2026-07-22 07:40:57,reg_02,2026-08-03 22:40:57
r_00173,pc_0006,PAID,USD,103.70,2026-08-01 05:40:57,reg_02,2026-08-03 22:40:57
r_00174,pc_0019,PAID,USD,88.09,2026-07-26 14:40:57,reg_01,2026-08-03 22:40:57
r_00175,pc_0028,VOID,USD,207.46,2026-07-30 08:40:57,reg_01,2026-08-03 22:40:57
r_00176,,PAID,USD,240.26,2026-08-01 21:40:57,reg_03,2026-08-03 22:40:57
r_00177,pc_0040,PAID,USD,204.82,2026-07-26 15:40:57,reg_01,2026-08-03 22:40:57
r_00178,pc_0033,REFUNDED,USD,227.98,2026-07-18 09:40:57,reg_03,2026-08-03 22:40:57
r_00179,pc_0018,PAID,USD,52.30,2026-07-19 23:40:57,reg_01,2026-08-03 22:40:57
r_00180,,VOID,USD,158.53,2026-06-28 09:40:57,reg_03,2026-08-03 22:40:57
r_00181,pc_0019,PAID,USD,123.42,2026-07-17 06:40:57,reg_02,2026-08-03 22:40:57
r_00182,pc_0034,PAID,USD,240.40,2026-07-24 00:40:57,reg_03,2026-08-03 22:40:57
r_00183,pc_0022,PAID,USD,249.76,2026-07-08 08:40:57,reg_03,2026-08-03 22:40:57
r_00184,,PAID,USD,48.50,2026-07-28 09:40:57,reg_03,2026-08-03 22:40:57
r_00185,pc_0037,PAID,USD,164.60,2026-07-18 02:40:57,reg_01,2026-08-03 22:40:57
r_00186,pc_0011,PAID,USD,69.30,2026-07-11 10:40:57,reg_03,2026-08-03 22:40:57
r_00187,pc_0016,PAID,USD,241.60,2026-08-03 04:40:57,reg_02,2026-08-03 22:40:57
r_00188,,PAID,USD,112.80,2026-07-12 12:40:57,reg_03,2026-08-03 22:40:57
r_00189,pc_0030,PAID,USD,71.39,2026-07-26 05:40:57,reg_01,2026-08-03 22:40:57
r_00190,pc_0012,PAID,USD,183.37,2026-06-25 01:40:57,reg_02,2026-08-03 22:40:57
r_00191,pc_0012,PAID,USD,108.82,2026-07-02 23:40:57,reg_03,2026-08-03 22:40:57
r_00192,,PAID,USD,25.97,2026-07-05 06:40:57,reg_03,2026-08-03 22:40:57
r_00193,pc_0006,VOID,USD,48.40,2026-07-06 04:40:57,reg_02,2026-08-03 22:40:57
r_00194,pc_0025,PAID,USD,29.35,2026-07-23 15:40:57,reg_02,2026-08-03 22:40:57
r_00195,pc_0015,PAID,USD,51.50,2026-06-23 01:40:57,reg_02,2026-08-03 22:40:57
r_00196,,PAID,USD,231.10,2026-08-02 12:40:57,reg_03,2026-08-03 22:40:57
r_00197,pc_0033,PAID,USD,191.89,2026-07-13 01:40:57,reg_01,2026-08-03 22:40:57
r_00198,pc_0034,VOID,USD,214.03,2026-08-02 02:40:57,reg_01,2026-08-03 22:40:57
r_00199,pc_0004,PAID,USD,144.90,2026-06-28 01:40:57,reg_03,2026-08-03 22:40:57
r_00200,,REFUNDED,USD,201.51,2026-06-21 08:40:57,reg_02,2026-08-03 22:40:57
